Structure: player,piece name,x,y,rotation,flip


Game 1 with players: R AB_1 AB_2 AB_2
RED,t4,10,17,0,0
YELLOW,L4,13,14,0,0
BLUE,line3,4,7,1,0
RED,twoPiece,6,16,0,0
YELLOW,line3,19,17,1,0
BLUE,twoPiece,5,5,0,0
RED,singleSquare,4,3,0,0
YELLOW,twoPiece,14,18,0,0
YELLOW,singleSquare,3,12,0,0
YELLOW,3corner,2,14,1,0

Game 4 with players: AB_1 AB_0 AB_2 AB_0
RED,chunky5,18,1,2,1
YELLOW,L5tall,1,1,2,1
GREEN,line5,0,17,1,0
BLUE,line5,17,19,0,0
RED,L5tall,14,2,2,1
YELLOW,X5,4,3,3,1
GREEN,L5,3,14,2,0
BLUE,-L,14,17,2,0
RED,line5,10,0,0,0
YELLOW,line5,2,6,1,0
GREEN,-L,1,10,2,1
BLUE,L5tall,10,17,0,0
RED,-L,6,1,0,1
YELLOW,-L,3,10,0,0
GREEN,L5tall,0,6,3,1
BLUE,z5,6,16,0,1
RED,z5,6,4,1,0
YELLOW,z5,4,12,1,0
GREEN,z5,3,16,1,0
BLUE,chunky5,5,14,1,0
RED,T5,3,7,1,0
YELLOW,chunky5,1,12,0,0
GREEN,chunky5,5,19,2,1
BLUE,T5,7,10,0,0
RED,C5,7,8,0,0
YELLOW,T5,2,15,0,0
GREEN,Z5,8,18,0,0
BLUE,C5,9,8,1,0
RED,L5,9,10,0,0
YELLOW,L4,2,19,2,1
GREEN,T5,9,14,0,0
BLUE,L5,8,4,0,0
RED,M5,11,3,2,0
YELLOW,3corner,0,3,0,0
GREEN,C5,11,12,1,0
BLUE,M5,12,5,0,1
RED,X5,12,8,0,0
YELLOW,twoPiece,4,17,3,0
GREEN,M5,12,15,0,1
BLUE,X5,14,7,0,0
RED,tree5,13,11,1,0
YELLOW,singleSquare,0,14,0,0
GREEN,X5,15,13,0,0
BLUE,tree5,15,3,0,1
RED,Z5,7,14,0,1
GREEN,tree5,16,9,1,0
BLUE,Z5,17,5,1,0
RED,L4,10,5,0,0
GREEN,l4,16,16,3,0
BLUE,l4,19,7,3,0
RED,z4,11,14,0,1
GREEN,cube,17,6,0,0
BLUE,cube,17,10,0,0
RED,t4,15,9,1,1
GREEN,L4,11,18,0,1
BLUE,L4,18,13,2,0
RED,line3,15,0,0,0
GREEN,z4,4,10,1,0
BLUE,3corner,19,2,0,1
RED,3corner,14,15,1,0
GREEN,t4,18,14,0,0
BLUE,twoPiece,6,7,0,0
RED,twoPiece,6,11,3,0
GREEN,line3,19,17,1,0
BLUE,z4,4,5,0,0
RED,singleSquare,2,9,0,0
GREEN,twoPiece,17,12,0,0
BLUE,singleSquare,5,4,0,0
GREEN,singleSquare,0,13,0,0

Game 5 with players: R R AB_3 AB_0
RED,twoPiece,19,1,1,1
YELLOW,C5,0,1,1,0
GREEN,C5,1,18,1,1
BLUE,Z5,18,18,1,1
RED,C5,17,3,2,1
YELLOW,L5,4,1,0,1
GREEN,X5,2,15,2,1
BLUE,M5,17,15,3,1
RED,singleSquare,15,4,3,1
YELLOW,L5tall,6,4,0,0
GREEN,line5,0,12,1,0
BLUE,line5,13,13,0,0
RED,X5,14,1,1,0
YELLOW,X5,9,2,2,1
GREEN,-L,1,8,0,0
BLUE,-L,9,11,2,1
RED,tree5,13,5,1,0
YELLOW,singleSquare,8,0,0,0
GREEN,L5tall,0,4,3,1
BLUE,L5tall,5,10,0,0
RED,T5,17,6,1,1
YELLOW,tree5,12,3,1,1
GREEN,z5,2,10,1,0
BLUE,z5,3,14,3,1
RED,L5tall,15,9,3,0
YELLOW,twoPiece,10,4,3,1
GREEN,chunky5,3,4,0,0
BLUE,chunky5,3,17,3,0
RED,-L,17,12,0,0
YELLOW,L4,7,6,0,0
GREEN,T5,4,17,1,0
BLUE,T5,6,12,0,0
